bando,piattaforma,commento_p,target
e di nuovo sport,bandi online,non non_apprezzato non_aver non_tolto non_20 non_punteggio non_destinato non_associazioni non_zone non_montane non_piccoli non_comuni non_cambiamento non_criteri non_nettamente non_favorito non_ancor non_realtà non_grossi non_centri non_inoltre non_aggiunta non_pasaggio non_accettazione non_contributo non_aumentato non_pratica non_passaggio non_burocratico non_poco non_comprensibile non_utilità,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,tiene conto necessità finanziarie,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,trovato diversi requisiti relativa applicazione pò interpretativi secondo me bando dovrebbe essere possibile chiaro essenziale,0
bando accumulo anno 2017,bandi online,,1
nidigratis2019,bandi online,manca numero telefonico diretto regione non non_call non_center non_risolvere non_problemi non_senza non_aspettare non_risposte non_via non_email,0
asd 2019,bandi online,quando problemi compilazione invio bando stato guidato maniera soddisfacente,1
asd 2019,bandi online,semplice chiaro,0
promozione culturale legge 9 2016,siage,alcune voci richieste rendicontazione ridondanti alcune voci spesa non non_accettate non_parte non_integrante non_progetti non_finanziati non_legge non_9,0
rinnova autoveicoli,bandi online,trovo molto chiara piattaforma evidenzierei cosa può fare mostrerei cittadino deve aspettare quali prossimi passi deve fare esempio risposta arrivaerà entro 10 10 20 dovrà caricare x documentigrazie,1
rivivi lombardia anno 2020,bandi online,buono qualche problema portale rendicontazione,1
criteri di individuazione soggetti dello spettacolo,bandi online,non non_complicazioni non_piattaforma non_veloce non_intuitiva,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,stato molto chiaro,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,non non_comprensivo non_persone non non_acculturate non_secondo non_me non_moduli non_compilare non_dovrebbero non_essere non_unico non_fascicolo non_facilitare non_cose,0
criteri di individuazione soggetti dello spettacolo,bandi online,informazioni chiare persone preposte sciogliere dubbi molto competenti,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,ritengo congruo contributo erogato rapporto esigenze famiglie adeguata assistenza momento necessità supporto parte addetta dimostrata competente disponibile,1
bando accumulo anno 2017,bandi online,ritengo ottimo concetto incentivare partecipazione volontaria singolo cittadino iniziative protezione ambientale bando va quel senso,1
contributi acquisto attrezzature vvff volontari,pec-peo,tempi troppo corti,1
alvia,bandi online,chiaro intuitivo,1
fondo sale privati,bandi online,procedure semplici ben funzionanti,1
alvia,bandi online,bando rispecchia esigenze aziendali migliorabile velocizzare parte burocratica,1
musei 2017,siage,procedura abbastanza snella,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,disponibilità organizzazione chiarezza parte referente,1
legge 50 anno 2019,bandi online,antipatico fase compilazione bozza non non_poter non_proseguire non_ezoni non non_finisce non_antecedente,0
rinnova autoveicoli,bandi online,rendicontazione indicata bando non non_chiara non_cittadino non_comune non_opportuno non_poter non_indicare non_cosa non_deve non_fare non_cittadino non_lato non_pratico,0
legge 50 anno 2019,bandi online,difficile uso piattaforma cambiata corso ultimi mesi difficile reperire assistenza dubbi compilazione rendicontazione,0
faber iii ed,bandi online,call center zelante non non_preparatissimo non_domande non_specifiche non_manuale non_istruzione non_dovrebbe non_essere non_dettagliato non_utilizzare non_terminolgie non_adeguate non non_avvale non_intermediari non_redazione non_domanda,0
biblioteche 2016,siage,bene gestione piattaforma passaggi varie fasi vanno esplicitati meglio,0
nidigratis2019,bandi online,chiaro lineare passaggi non non_dato non_massimo non_solo non_caso non_errato non_inserimento non_procedura non_piuttosto non_rigida non_grazie non_mille,1
faber i ed,bandi online,troppo poco tempo pubblicazione graduatorie rendicontazione,0
e di nuovo sport,bandi online,risposte rendicontazione sempre richiesta obbligatoriamente partita iva oltre codice fiscale collaboratori asd solo codice fiscale inoltre documenti ricevute versamenti federazioni non non_riportano non_partita non_iva non_codice non_fiscale non_stato non_complicatissimo non_trovarli non_web non_modalita non_pagamento non non_previsto non_bollettino non_postale non_usato non_alcune non_federazioni non_es non_fipav,1
faber iii ed,bandi online,informazioni talvolta contrastanti call center mail inoltre ricevono mail id pratica senza nominativo ditta associata,0
bando accumulo anno 2017,siage,sistema abbastanza complicato capitano spesso intoppi non non_riesci non_andare non_avanti non_devi non_chiamare non_call non_center,0
nidigratis2019,bandi online,facile intuitivo ottima gestione streaming tutorial anci regione lombardia aiuta molto inizio dimenticavo doppio salvataggio rendicontazione bambino poi proseguire salvavo automatico due volte,1
bando accumulo anno 2017,bandi online,buona domanda presentazione serve maggiore chiarezza compilare bandi rendicondazioni link diretti tutorial perchè non non_presenti non_pagine non_principali,1
faber 2020,bandi online,procedura stata semplice adesione rendicontazione,1
bando accumulo anno 2017,bandi online,po complesso efficiente,1
bando accumulo anno 2017,bandi online,poco intuitivo sito webnecessità firma elettronica fasi,0
bando accumulo anno 2017,bandi online,ritengo portale adesione bando ben strutturato semplice utilizzare tempistiche informazioni merito documentazione caso state tempestive soddisfacenti risposte richieste info via mail state gestite modo tempestivo esaustive,1
contributi asd ssd linea 1 e linea 2 2017,siage,non non_tiene non_conto non_complessità non_gestione non_spese non_polisportive non_confronti non_società non_monodisciplinari non_inoltre non non_agevola non_società non_paralimpiche non_disabili non non_tenendo non_conto non_specificità non_enormi non_spese non_sostengono non_aggiunta non_società non_normodotati,0
smaltimento amianto anno 2019,bandi online,perchè tempi attesa lunghi poi volta riuscita mettermi contatto operatore dopo aver identificato pratica esposto problema caduta linea non non_stato non_modo non_mettermi non_contatto non_call non_center,0
bando accumulo anno 2017,bandi online,richieste non non_sempre non_chiare non_dare non_risposte non_dovuto non_rivolgere non_fornito non_impianto,0
nidigratis2019,bandi online,fase rendicontazione opportuno migliorare piattaforma fare modo non non_incorrere non_problemi non_caricamento non_allegati non_capita non_inoltre non_invio non_protocollo non non_funzioni,0
promozione culturale legge 9 2018,bandi online,veloce efficiente intuitivo,1
faber ii ed,bandi online,faq troppo scarse informazioni difficili reperire gestione anomalie lente,0
asd 2018,bandi online,sembra veramente bel programma facile utilizzare abbastanza velove,1
bando accumulo anno 2017,siage,riuscito accedere erogazione contributo,1
formazione continua vi,bandi online,ottimo intervento permettere piccole imprese poche risorse migliorare proprie conoscenze procedura dimostrata fin subito farraginosa necessitava parecchio tempo capire preparare documentazione richiesta pertanto rivolti associazione categoria richiedere rimborso corso partecipato,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,chiarezza procedure,1
bando accumulo anno 2017,siage,perchè può essere semplificato,1
asd 2019,bandi online,buono alcune domande finali incomprensibili,0
turismoeattrattivita,siage,stata ottima possibilità migliorare attività però bisogno intermediario settore compilazione invio documenti partecipazione rendicontazione finale,1
turismoeattrattivita,siage,informazioni bando possibilità prorogare ulteriore mese possibilità concludere stesso manuale dovuto essere fattibile siage cosi non non_stato non_dovuto non_dedicare non_tempo non_capire non_fare non_dovuto non_mandare non_pec non_altra non_cosa non_guida non_rendicontazioni non_chiede non_auto non_certificazioni non_fornire non_avere non_sede non_lombardia non_attiva non_lombardia non_poi non_inserimento non_dati non_richiede non_autocertificazione non_opera non_lombardia non_iscritta non_registro non_imprese non_attiva,0
bando accumulo anno 2017,siage,efficienza velocità,1
dote impresa collocamento mirato,sintesi,opportuno migliorare fluidità richiesta beneficio probabilmente prime richieste non non_sapeva non_bene non_procedere non_ringraziamento non_personale non_aiutati non_inserimento non_domanda non_davvero non_molto non_disponibili,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,tramite aiuto dottore audiometrista preparato documenti necessari presentazione domanda,0
smaltimento amianto anno 2019,bandi online,passaggi poco chiari soprattutto rendicontazione,1
bando accumulo anno 2017,bandi online,ottimo perchè procedura semplice molto intuitiva portale funziona bene,1
bando accumulo anno 2017,bandi online,non non_facilmente non_intuitivo non_utilizzo non_inoltre non_fatto non_restino non_bozze non_bandi non_senza non_possano non_essere non_poi non_eliminati non_crea non_sicuramente non_confusione,0
sicurezza_urbana_lotto_b_2017,siage,partecipazione finanziamenti regionali caso concessione finanziamento ancor rendicontazione attraverso age deve essere operatore intuitiva vari step incontrano man mano procede compilazione non non_sempre non_facilmente non_interpretabili,0
lingua lombarda e patrimonio immateriale 2018,bandi online,bisognerebbe informare rendicontare progetto,0
bando accumulo anno 2017,bandi online,modulistica esasperante,0
alvia,bandi online,trovato molto alticolato volte non non_semplice non_intuizione,0
archemisuraa,bandi online,fase caricamento fatture relativi pagamenti troppo macchinosa,0
interventi urgenti di valorizzazione dei beni culturali 2018,bandi online,help contestuale chiaro velocizzato procedura rendicontazione,1
ludopatie2017 linea 2 linea 3,siage,riscontrato difformità contenuti bando rendicontazione richiesta,0
bando accumulo anno 2017,bandi online,dato possibilità mitigare spesa abbastanza importante privato cittadino relativa problema ecologico società odierna,1
asd 2019,bandi online,informazioni assistenza buoni,1
legge 50 anno 2019,bandi online,intuitivo facile compilazione,1
bando accumulo anno 2017,bandi online,bando incontra reali esigenze bisogna dare riscontro positivo gestione software assolutamente poco friendly sorta gara inserimento stata origine difficoltà superate integrazione successiva quindi fine riguarda qualifico esperienza globalmente positiva,0
promozione culturale legge 9 2017,siage,procedura rendicontazione molto rigida costretti forzarla esempio non non_previsto non_inserimento non_note non_prestazione non_occasionale non_pertanto non_vanno non_inserite non_campi non non_appropriati non_utile non_errori non_venissero non_segnalati non_mano non_mano non_vengono non_inseriti non_giustificativi non_spesa non non_fase non_richiesta non_saldo non_così non non_commettere non_volte non_errori non non_sempre non_chiaro non_quali non_tipologie non_spesa non_attribuire non_giustificativi non non_perfettamente non_aderente non_piano non_economico non_presenta non_fase non_progettuale,0
pro loco seconda finestra,bandi online,bando sicuramente interessante accedervi modalità richieste avviso troppo complicato pensa piccole associazioni magari non non_masticano non_perfettamente non_tipo non_cose,0
autoimprenditorialità -articolo43,bandi online,fase rendicontazione vengono chiesti dati ridondanti inoltre grafica non non_aiuta,0
faber ii ed,bandi online,valutiamo 3 complessivamente ritardo tempistiche pubblicazione graduatorie,0
rinnova autoveicoli,bandi online,unica critica rilevante poca chiarezza fondi ancora disponibili durante durata bando permetto segnalare assistenza email indirizzo qualita_ambiente regione lombardia it ottima invece customer care telefonico tendenzialmente inutile impreparato,1
storevolution,bandi online,sistema fase rendicontazione non non_concede non_spazio non_oneri non_aggiuntivi non_pretende non_corrispondenza non_pagato non_es non_devo non_forza non_modificare non_iva non_far non_quadrare non_pagamento non_es non_professionisti non_difficile non_imputare non_medesima non_fattura non_pro non_quota non_voci non_costo non_diverse,0
musei spese correnti 2019,bandi online,servizio operatori ottimo piattaforma chiara non non_stata non_immediata non_percezione non_divisione non_progetti non_spese non_conto non_capitale non_spese non_correnti non_ripartizione non_bandi non_stato non_primo non_anno non_poi non_abitua non_realtà non_chiaro non_bandi non_purtroppo non_tempo non_leggerli non_dovuta non_attenzione non_spesso non_manca non_grazie,1
bando accumulo anno 2017,siage,troppa burocrazia,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,stati soddisfatti,1
rinnova autoveicoli,bandi online,atto compilazione bando stato richiesto indicare indirizzo posta elettronica standard pec personale preferito utilizzare indirizzo pec non non_ricevuto non_alcuna non_comunicazione non_solo non_dopo non_svariati non_contatti non_assistenza non_preferito non_modificare non_indirizzo non_utilizzando non_casella non_standard non_andrebbe non_migliorato non_aspetto,0
asd 2018,bandi online,parte rendicontazione piuttosto complessa spesso chiede obbligatorie informazioni non non_possono non_essere non_inserite non_es non non_fornitori non_partita non_iva non_specie non_collaboratori non_asd,0
faber 2020,bandi online,unico problema caricamento documenti fase rendicontazione,1
nidigratis2019,bandi online,procedure velocizzate rispetto passato non non_ottimo non_risposta non_po non_lenta non_passaggio non_fasi,1
sostegno manifestazioni sportive,bandi online,poco intuitivo,0
enti ecclesiastici anno 2019,bandi online,disponibilità funzionario riferimento,1
sostegno manifestazioni sportive,bandi online,domande complicate interpretazione problemi relativi iva caricamento giustificativi spesa problema caricamento entrate,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,semplice funzionale,1
faber 2020,bandi online,impossibile operare individualmente procedure macchinose farragginose poca disponibilità personale regionale aiutare povero utente,0
bando accumulo anno 2017,bandi online,piattaforma non non_sempre non_funzionale non_funzionante,0
sostegno manifestazioni sportive,siage,regole chiare semplici seguire,1
sostegno manifestazioni sportive,siage,modalità non non_spiegate non non_conosce non_cosa non_ingenera non_errore non_maniera non_dettagliata non_impedisce non_procedere non_maniera non_efficace,0
turismoeattrattivita,siage,bando prevede investimento massimo 50 000 00 euro hotel veramente poco buona invece intensita contributo 40,0
innodriver misura a,bandi online,bando semplice gestione lineare,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,abbastanza chiaro,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,perche stata seguita de persone molto profesionale,1
genitori separati2020,bandi online,spiegazioni poco dettagliate va avanti tentativi intuito porta stato insicurezza compilazione implementazione documenti sperando vada buon fine,0
innodriver misura a,bandi online,purtroppo alcune parti specificate bando rendicontazione non non_mai non_chiare,1
contributi asd ssd linea 1 e linea 2 2017,siage,scarsa dotazione finanziaria,0
faber ii ed,bandi online,nessun problema riscontrato escluse tempistiche risposta regione iter approvazione troppo lungo,0
asd 2018,bandi online,buono bando faq non non_sufficientemente non_dettagliata non_poca non_chiarezza non_inserimenti non_dati non_necessari non_fase non_rendicontazione,0
biblioteche 2016,siage,molto semplificato rispetto passato,1
rinnova autoveicoli,bandi online,alcune incertezze soprattutto accesso piattaforma non non_riuscito non_ritrovare non_precedente non_domanda non_rimasta non_bozza non_risolvere non_fatto non_rilasciare non_spid,1
smaltimento amianto anno 2019,bandi online,difficoltà accesso reperimento informazioni districarsi bando complicato poco chiare istruzioni scarsa assistenza chiamato due numeri verdi differenti scritto email senza avere risposte,0
autoimprenditorialità - articolo43,bandi online,solo quest anno stato possibile avere manuale riferimento soltanto parte relativa rendicontazione liquidazione implementerei nuovamente sezione faq porterebbero operatori ritrovarci quesiti altri senza dover disturbare direttamente referenti regione lombardia caso bando apprendistato utile conoscere anticipo possibilità rifinanziamento fronte esaurimento risorse considerato lungo lavoro dietro stipula contratto,1
asd 2019,bandi online,complesso gestione positiva qualche carenza rendicontazione termine elenco giustificativi inseriti sistema indicava errore senza dirmi riga verificato,1
sostegno manifestazioni sportive,bandi online,troppi ritardi rispetto date previste inizio approvazione graduatorie rimborsi,0
bando accumulo anno 2017,bandi online,piu 60 snno pr0blemi computer,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,venuta conoscenza bando comitato genitori figli certificazione dsa altrimenti non non_saputo non_altre non_cose non_bando non non_indicata non_data non_scadenza non_presentazione non_relativa non_provincia non_bergamo non_venuta non_conoscenza non_contattando non_telefonicamente non_ufficio non_preposto,0
sostegno manifestazioni sportive,siage,piattaforma intuitiva,1
nidigratis2019,bandi online,tempistiche lunghissime parte regione verifiche ammissione domande apertura finestre rendicontazione,0
biblioteche 2017,siage,accesso iniziale piattaforma dispersivo confuso particolare registrazione soggetti accedono potrebbe essere migliorata pagina iniziale,0
innodrivermisuraa,bandi online,alcune fasi campi rendicontazione non non_spiegate non_manuale non_faq non_pubblicata non_risposte non_domande non non_esaustive,0
bando accumulo anno 2017,bandi online,parte qualche problema procedurale riscontrato apertura bando forse sovraccarico rimasto positivamente sorpreso stata organizzata riammissione seguito nuovi fondi regione riuscita mettere campo,1
garanziagiovanifaseii,bandi online,recuperare 700 euro bisogna perdere sacco tempo non non_sappiamo non_nemmeno non_quando non_andremo non_prenderli non_assurdo non_poi non_venga non_data non_possibilità non_far non_risultare non_firmatario non_differente non non_possesso non_firma non_digitale non_titolare non_poi non_venga non_richiesta non_pena non_mancata non_presentazione non_domanda non_delega non_firmatario non_sottoscritta non_digitalmente non_titolare non_ditta non_partecipato non_bando non_delegato non_probabilmente non_motivo non_no,0
bando accumulo anno 2017,bandi online,burocratico,0
turismoeattrattivita,siage,stata ottima opportunita poter effettuare investimenti migliorativi propria attivita ottenendo contributo utilizzabile andamento ordinario propria impresa,1
pro loco seconda finestra,bandi online,trovare numero protocollo stata impresa indicazioni fornite termine invio non non_riscontrabili,0
criteri di individuazione soggetti dello spettacolo,bandi online,non non_trattava non_bando non_quindi non non_saprei non_valutare,0
bando sicurezza infrastrutture,bandi online,fase rendicontazione parsa macchinosa,0
faber 2020,bandi online,ben spiegato supportato,1
faber 2020,bandi online,tempistiche po strette comunicazione ultime graduatorie termine ultimo rendicontare piattaforma rendicontazione non non_disponibile non_data non_prevista non_errori non non_permettevano non_effettuare non_interamente non_invio non_documenti,0
e di nuovo sport,bandi online,sistema pò ridondante informazioni chiede rendicontazione,0
smaltimento amianto anno 2019,bandi online,assistenza fornita operatori stata cortese efficiente tempestiva,1
e di nuovo sport,bandi online,globalmente buona unica criticità caricamento documenti obbligatorio riportare valore documento fattura ricevuta valore imputare bando sistema non non_prevede non_eventuali non_differenze non_esempio non_fattura non_1 non_000 non_euro non_imputare non_bando non_500,1
nidigratis2019,bandi online,ottima gestione formazione parte regione lombardia anci po macchinoso inserimento documenti firmati digitalmente richiesta liquidazione documento sintesi sistema spesso avviso errore file non non_corrisponde non_originale non_benche non non_stato non_aperto non_modificato,1
promozione culturale legge 9 2016,siage,non non_consona non_esigenze non_enti non_pubblici non_procedure non_atti non_soprattutto non non_adeguata non_caratteristiche non_beni non_culturali,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,bando non non_molto non_chiaro non_personalmente non_riscontrato non_difficoltà non_documentazione non_medica non_disabile non_me non_seguito non_nascita non non_specialista non_particolare non_segue non_pertanto non_credo non_medico non_adatto non_compilazione non_modulo non_doveva non_essere non_medico non_base non non_specialista,0
rinnova autoveicoli,bandi online,semplicità utilizzo,1
smaltimento amianto anno 2019,bandi online,deve essere spiegato meglio dettagli accedere varie sezioni rendicontazione inoltro documenti non non_facilmente non_rintracciabili non non_capisce non_gestire non_eventuali non_casi non_particolari,0
garanziagiovanifaseii,bandi online,parte problematiche natura tecnica stato molto semplice effettuare domanda,1
sostegno manifestazioni sportive,siage,puo essere semplificata procedura ancora accessibile pochi,0
e di nuovo sport,bandi online,gestione bando ritendo piu sufficiente fasi operative molto difficile procedere telefonato scritto assistenza non non_formata non_procedure non_interne non_bando non_problematiche non_potevano non_riscontrare non_dovuto non_farmi non_appoggiare non_consulente non_personale non_ogni non_caso non_certe non_cose non_rimaste non_dubbio non_averle non_fatte non_correttamente,1
asd 2018,bandi online,sostegno importante società sportive gestione abbastanza snella procedura abbastanza intuitiva,1
bando accumulo anno 2017,bandi online,stati veloci risposte chiari,1
rinnova autoveicoli,bandi online,ritengo migliorabile ricerca bandi riguarda call center provato chiamare volta non non_mai non_risposta non_mentre non_riguarda non_sportello non_rivolto non_inizio non_capire non_meglio non_bando non_sapevano non_meno non_me non_quindi non_penso non_fondamentale non_migliorare non_2 non_ultime non_cose,1
smart working,bandi online,agevolazione molto importante gestione fase covid,1
turismoeattrattivita,siage,molto competenti cordiali operatore chiesto assistenza,1
biblioteche ed archivi storici 2019 spese correnti,bandi online,volte non non_riesca non_accedere non_piattaforma,1
promozione culturale legge 9 2017,siage,piuttosto macchinoso non non_particolarmente non_chiaro non_varie non_voci non_caso non_specifico non_bando non_unico non_cultura non_2017 non non_manualistica non_hoc non non_linee non_guida non_inviate non_tempo,0
bando accumulo anno 2017,bandi online,difficile procedere autonomia non non_dimestichezza non_tipo non_pratiche non_procedure non_grazie,0
sostegno manifestazioni sportive,bandi online,apprezzo semplicita chiarezza informazioni richieste fatte regione lombardia,1
sicurezza_urbana_lotto_a_2017,siage,vanno ridefiniti criteri assegnazione punteggi introducendo nuovi indicatori altresi riguardo lotto b vanno ridefinate dotazioni strumentali acquistabili comprendendo ulteriore gamma prodotti esempio potrebbe finanziare barriere anticarro cavallo frisia ecc luce nuovi compiti carico polizia locale ciò riguarda terrorismo importante uniformare sistema trasmissione radio territorio regionale regione emilia romagna già anni fa finanziato comuni adozione sistema tetra,0
asd 2018,bandi online,chiaro immediato,1
bando accumulo anno 2017,siage,abbastanza intuitivo,1
promozione culturale legge 9 2018,bandi online,procedura rendicontativa troppo complessa,0
nidigratis2019,,semplice intuitivo,1
musei 2016,siage,riusciti gestire piccolo progetto senza problemi apprezzata assistenza diretta stati risolti tempo reale problemi insorti,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,rammarico non non_avermi non_assegnazione non_contributo non_acquisto non_pc non_portatile non non_possibile non_erogare non_relativo non_finanziamento non_causa non_esaurimento non_fondi non_bando non_2017,0
innodrivermisuraa,bandi online,richiesta stata accolta,1
rinnova autoveicoli,bandi online,domanda non non_accessibile non_area non_solo non_sezione non_bandi non_lavorazione non_poco non_intuitivo non non_esiste non_possibilità non_eliminare non_bozze non non_esiste non_possibilità non_aggiornare non_documenti non_inviati non_effettuare non_richiesta non_modifica,0
bando pro loco,bandi online,meglio renderli facili comprensivi,0
bando accumulo anno 2017,siage,bando ottima iniziativa ben gestita però sede compilazione domanda stata fatta domanda tecnica costo energia accumulata euro kwh non non_anticipata non_né non_faq non_né non_documento non_descrizione non_bando non_creato non_problemi non_ritardo non_presentazione non_domanda,1
smaltimento amianto anno 2019,bandi online,dopo 20 giorni inoltrato tutta documentazione necessaria giustificativi spesa prima stata inviata email mancavano documenti chiamato numero verde estato detto non non_tenere non_considerazione non_avviso,0
garanziagiovanifaseii,bandi online,problematiche accesso piattaforma on line nessuno servizio tecnico stato grado darmi mano anzi posti maniera tutt altro costruttiva risoluzione problema parte difficoltà d accesso successiva compilazione stata semplice,0
smaltimento amianto anno 2019,bandi online,ottimo bando difficoltosa macchinosa rendicontazione,1
bando accumulo anno 2017,bandi online,ottimo online partecipazione attiva informazioni riscontri corso fasi bando,1
bando accumulo anno 2017,siage,manca monitoraggio stato avanzamento procedure valutazione sistema risulta poco gestibile inserimento dati richiesti vari bandi,0
promozione culturale legge 9 2016,siage,bando 2016 non non_contempla non_valorizzazione non_volontariato non_fase non_accettazione non_domanda non non_includeva non_tutte non_somme non_ammesse non_contributo non_avvio non_rendicontazione non_qualche non_problema non_blocco non_pratiche non_fase non_rendicontazione non non_consente non_strada non_visione non_insieme non_dati non_pratiche non_ove non_contributi non_raccolti non non_consentono non_realizzazione non_complessiva non_progetto non_rendicontazione non_rivela non_difficoltosa non_molto non_onerosa non_termini non_tempo non_molte non_documentazioni non_vengono non_richieste non_mano non_mano non_procede non_domande non_inviate non_via non_mail non_numero non_verde non_cosa non_succede non_volta non_schiacciato non_tasto non_richiedi non_saldo non_risposta non_stata non_lì non non_può non_tornare non_indietro non_cosa non_generato non_molti non_timori non_mentre non_realtà non_potevano non_apporre non_correzioni non_fino non_invio non_protocollo non_valutiamo non_comunque non_positivamente non_collaborazione non_funzionari non_operatori non_soluzione non_vari non_problemi non_rapidità non_tempi non_risposta,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,immediato semplice intuitivo,1
bando accumulo anno 2017,bandi online,nonnostante primo contatto bando non non_esperto non_riuscito non_aiuto non_personale non_gestisce non_bando non_arrivare non_conclusione non_unico non_consiglio non_metterei non_callcenter non_dia non_risposte non_vocali non_anzichè non_mail non_sottolineo non_comunque non_risposte non_mail non_sempre non_arrivate non_tempi non_brevi non_rispetto non_normali non_mail non_risposta non_verbale non_darebbe non_possibilità non_agire non_direttamente non_portale non_inesperti non_me non_faciliterebbe non_ulteriormente non_compilazione non_varie non_parti,1
bando accumulo anno 2017,siage,non non_indicato non_nessuna non_parte non_deve non_salvare non_dopo non_ogni non_pagina non_compilata non_solamente non_fine non_tutta non_pratica non_sistema non_numero non_id non_ogni non_documento non_viene non_inviato non_incompleto non_fa non_solamente non_confusione non_quando non_entra non_bando non_vedere non_stato non_proprio non_documento non_domande non_presenti non_questionario non_compilare non_momento non_richiesta non_ammissione non_bando non non_esattamente non_possono non_dedurre non_lettura non_bando non_motivo non_momento non_click non_day non_presi non_ansia non_facile non_sbagliare non_dovendo non_ricercare non_dati non_nuovi non non_predisposti non_precedenza non_bando non_possono non_migliorare non_istruzioni non_utili non_compilazione non_documento non_ammissione,0
rinnova autoveicoli,bandi online,secondo me utile implementare linea far capire punto processo trova fasi mancano,1
nidigratis2019,bandi online,bando utile fase istruttoria certi versi deve essere migliorata caso comune viene messo corrente domande ammesse sospese utenza rimane oscuro situazione allarma specialmente quando domande rimangono sospese piu quando bisogno assistenza attesa molto lunga capita forniscano istruzioni poi non non_vanno non_buon non_fine non_bisogna non_ritelefonare,0
alvia,bandi online,permette piccole realtà accedere finanziamenti maniera autonoma,1
biblioteche 2016,siage,procedure chiare funzionali,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,bisogno maggior supporto gestione vari documenti richiesti bando,0
faber ii ed,bandi online,perchè alcune fasi risultate poco comprensibili dubbia interpretazione,1
faber iii ed,bandi online,non non_dato non_massimo non_po non_troppi non_passaggi,1
pro loco seconda finestra,bandi online,trovati bene fatto assistenza parte regione lombardia partecipazione bando offre alcune possibilità inserirci maggiormente territorio pertanto valutazione positiva,1
e di nuovo sport,bandi online,chiaro funzionale,1
dotazioni tecnico strumentali,bandi online,pochi passaggi semplici intuitivi,1
piano nazionale sicurezza stradale,siage,non non_difficoltà non_partecipare,1
smaltimento amianto anno 2019,bandi online,pur richiesto sede bando separazione fatture tre voci costo rimozione trasporto smaltimento amianto oneri sicurezza fase caricamento giustificativi stato costretto caricare tre volte stessa fattura acconto tre volte stessa fattura saldo costringendomi estrapolare bonifici pagamento costi singole voci sperando aver fatto correttamente inoltre limite 5 mb documenti singoli creato problemi caricamento cila conteneva elementi grafici così documentazione fotografica lavori ultimati scuso ridondanza documenti non non_stato non_chiaro non_andassero non_caricati,0
interventi urgenti di valorizzazione dei beni culturali 2018,siage,forse opportuno evidenziare colore tasto carica file,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,gentilezza personale,1
musei 2017,siage,valutazione accurata rispetto tempi previsti,1
rinnova autoveicoli,bandi online,procedere bando occorre essere diciamo quasi esperti informatica,1
turismoeattrattivita,siage,troppo lunghi tempi saldo comunicazione ricevute addetti regione sempre totalmente anonime non non_rispecchiano non_seria non_comunicazione non_istituzioni non_impresa non_senza non_intestazione non_senza non_logo non_senza non_firma non_nome,1
rinnova autoveicoli,bandi online,problemi compilazione tablet poi passato computer senza problemi,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,alcune informazioni documenti possesso amministrazione pubblica non non_dovrebbero non_essere non_richiesti non_perchè non_superfui,0
asd 2018,bandi online,stato complesso redigere domanda sicuramente immediata facile compilazione fase rendicontazione,0
biblioteche 2018,bandi online,chiara spiegazione necessario stesura progetto perfetta assistenza ricevuta tempestiva assegnazione acconto assegnato,1
sostegno manifestazioni sportive,siage,ottima iniziativa soprattutto associazioni sportive,1
proposte di promozione della musica 2017,siage,piattaforma domanda non non_molto non_intuitiva non non_nemmeno non_possibile non_stampare non_riepilogo non_contenente non_dati non_inseriti,0
enti ecclesiastici anno 2019,bandi online,sembra fin qui andato bene grazie,1
bando accumulo anno 2017,siage,dovrebbe essere reso piú semplice usare troppa burocrazia oltre richiede competenza informatica non non_banale non_deve non_compilare,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,disponibile,1
faber iii ed,bandi online,ottimo strumento sostegno investimenti pmi,1
faber 2020,bandi online,tempistiche sballate valutazione vincoli spesa beneficiari,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,indicazioni state chiare tempi risposta accettazione stati brevi adeguati richiesta,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,venuti conoscenza bando caso famiglia figlio affetto pci giudicato invalido 100 aspetteremmo comunicazione personale tramite mail sms,0
proposte di promozione della musica 2018,bandi online,rendicontazione molto laboriosa impegnativa,0
